Manon	*	Bonjour {Manon}.		98	French	1	name
bonjour	hello, good morning/afternoon	{Bonjour} Manon.		1	French	2	greeting interj masc noun
alors	then, so	{Alors}, je crois qu'il y a pas longtemps, là, vous avez fait une bonne action ?		1	French	3	adv
il y a	it is	Alors, je crois qu'{il y a} pas longtemps, là, vous avez fait une bonne action ?		1	French	4	
il y a pas longtemps	not long ago	Alors, je crois qu'{il y a pas longtemps}, là, vous avez fait une bonne action ?		1	French	5	informal
qu	= que: that	Alors, je crois {qu}'il y a pas longtemps, là, vous avez fait une bonne action ?		1	French	6	conj
je	I	Alors, {je} crois qu'il y a pas longtemps, là, vous avez fait une bonne action ?		1	French	7	1p-sg pronoun
crois	(I) believe, (you) believe; Believe!	Alors, je {crois} qu'il y a pas longtemps, là, vous avez fait une bonne action ?		1	French	8	1p-sg 2p-sg pres verb
qu'est-ce que	what	{Qu'est-ce que} vous avez fait, alors ?		4	French	22	pronoun
est-ce que	is it that	Qu'{est-ce que} vous avez fait, alors ?		4	French	23	
est-ce	is that, is this	Qu'{est-ce} que vous avez fait, alors ?		3	French	24	
est	(he, she, it) is; east	Qu'{est}-ce que vous avez fait, alors ?		1	French	25	3p-sg masc noun pres verb
dire	to say	On peut {dire} ça comme ça.		3	French	26	infinitive verb
don du sang	blood donation	Alors, j'ai fait mon premier {don du sang}.		1	French	33	masc noun
c'est	it's, that's	{C'est} quoi ?		1	French	43	
c	= ce: that, it	{C}'est quoi ?		5	French	44	
quoi	what	C'est {quoi} ?		3	French	45	pronoun
bonne action	good deed	Alors, je crois qu'il y a pas longtemps, là, vous avez fait une {bonne action} ?		2	French	46	fem noun
il	he	{Il} faut attendre trois mois.		1	French	50	3p-sg masc pronoun
ils	they	A la fin, {ils} vous enlèvent la piqure.		1	French	51	3p-pl pronoun
vous	you (pl, polite)	Alors, je crois qu'il y a pas longtemps, là, {vous} avez fait une bonne action ?		1	French	146	2p-pl pronoun
fait	made; (he,..) makes	Alors, je crois qu'il y a pas longtemps, là, vous avez {fait} une bonne action ?		1	French	147	3p-sg masc pastpart pres verb
bonne	good	Alors, je crois qu'il y a pas longtemps, là, vous avez fait une {bonne} action ?		1	French	148	adj fem
ai	(I) have	Alors, j'{ai} fait mon premier don du sang.		1	French	149	1p-sg pres verb
avez	(you) have	Qu'est-ce que vous {avez} fait, alors ?		1	French	150	2p-pl pres verb
mon	my	Alors, j'ai fait {mon} premier don du sang.		1	French	151	masc pronoun
