wie	how	{Wie} froh bin ich, daß ich weg bin!		2	wie
froh	happy, glad	Wie {froh} bin ich, daß ich weg bin!		2	froh
bin	(I) am	Wie froh {bin} ich, daß ich weg {bin}!		2	bin
ich	I	Wie froh bin {ich}, daß {ich} weg bin!		2	ich
daß	that, so that	Wie froh bin ich, {daß} ich weg bin!		2	daß
weg	(adv) away, gone; (n) path, way	Wie froh bin ich, daß ich {weg} bin!		2	weg
wie froh	how happy	{Wie froh} bin ich, daß ich weg bin!		1	wie froh
wie froh bin	how happy (I) am	{Wie froh bin} ich, daß ich weg bin!		1	wie froh bin
wie froh bin ich	how happy I am	{Wie froh bin ich}, daß ich weg bin!		1	wie froh bin ich
wie froh bin ich, daß	how happy I am that	{Wie froh bin ich, daß} ich weg bin!		1	wie froh bin ich, daß
wie froh bin ich, daß ich	how happy I am that I	{Wie froh bin ich, daß ich} weg bin!		1	wie froh bin ich, daß ich
wie froh bin ich, daß ich weg	how happy I am that I (am) gone	{Wie froh bin ich, daß ich weg} bin!		1	wie froh bin ich, daß ich weg
wie froh bin ich, daß ich weg bin	how happy I am that I am gone	{Wie froh bin ich, daß ich weg bin}!		1	wie froh bin ich, daß ich weg bin
waren nicht meine übrigen Verbindungen recht ausgesucht vom Schicksal	have not other attachments been specially appointed by fate	{Waren nicht meine übrigen Verbindungen recht ausgesucht vom Schicksal}, um ein Herz wie das meine zu ängstigen?		1	waren nicht meine übrigen verbindungen recht ausgesucht vom schicksal
um ein Herz wie das meine zu ängstigen	to torment a head like mine	Waren nicht meine übrigen Verbindungen recht ausgesucht vom Schicksal, {um ein Herz wie das meine zu ängstigen}?		1	um ein herz wie das meine zu ängstigen
Waren	*	{Waren} nicht meine übrigen Verbindungen recht ausgesucht vom Schicksal, um ein Herz wie das meine zu ängstigen?		99	waren
nicht	*	Waren {nicht} meine übrigen Verbindungen recht ausgesucht vom Schicksal, um ein Herz wie das meine zu ängstigen?		99	nicht
meine	*	Waren nicht {meine} übrigen Verbindungen recht ausgesucht vom Schicksal, um ein Herz wie das {meine} zu ängstigen?		99	meine
übrigen	*	Waren nicht meine {übrigen} Verbindungen recht ausgesucht vom Schicksal, um ein Herz wie das meine zu ängstigen?		99	übrigen
um	*	Waren nicht meine übrigen Verbindungen recht ausgesucht vom Schicksal, {um} ein Herz wie das meine zu ängstigen?		99	um
ein	*	Waren nicht meine übrigen Verbindungen recht ausgesucht vom Schicksal, um {ein} Herz wie das meine zu ängstigen?		99	ein
Herz	*	Bester Freund, was ist das {Herz} des Menschen!		99	herz
Leonore	*	Die arme {Leonore}!		98	leonore
einfach	simple, easy	… kreuzen und die lieblichsten Täler bilden. Der Garten ist {einfach}, und man fühlt gleich bei dem Eintritte, daß nicht  …		1	einfach
